Player_ID,SHIRT_N,PLAYER_NAME,AGE,HEIGHT,FOOT,Country,SQUAD,SQUAD_RANKING,OPPONENT,OPPONENT RANKING,M_WEEKDAY,M_MONTH,M_SEASON,YEAR,COMPETITION_N,ROUND_N,VENUE_N,STARTER,STRIKER,Penalty,Penalty_shooter,MINUTES,GOALS
PT-7,7,Cristiano Ronaldo,28,187,1,pt,Portugal,7,Russia,9,6,10,3,2012,2,1,2,1,0,0,1,90,0
PT-7,7,Cristiano Ronaldo,28,187,1,pt,Portugal,7, Northern Ireland,96,3,10,3,2012,2,1,1,1,0,0,1,90,0
PT-7,7,Cristiano Ronaldo,28,187,1,pt,Portugal,5,Israel,63,6,3,1,2013,2,1,2,1,0,0,1,90,0
PT-7,7,Cristiano Ronaldo,28,187,1,pt,Portugal,5,Russia,22,6,6,2,2013,2,1,1,1,0,0,1,90,0
PT-7,7,Cristiano Ronaldo,29,187,1,pt,Portugal,5, Northern Ireland,89,6,9,3,2013,2,1,2,1,0,0,1,89,3
PT-7,7,Cristiano Ronaldo,29,187,1,pt,Portugal,5,Israel,63,6,10,3,2013,2,1,1,1,0,0,1,90,0
PT-7,7,Cristiano Ronaldo,29,187,1,pt,Portugal,5,Sweden,27,6,11,3,2013,2,2,1,1,0,0,1,90,1
PT-7,7,Cristiano Ronaldo,29,187,1,pt,Portugal,5,Sweden,27,3,11,3,2013,2,2,2,1,0,0,1,90,3
PT-7,7,Cristiano Ronaldo,29,187,1,pt,Portugal,7,Cameroon,42,4,3,1,2014,1,0,1,1,1,0,1,86,2
PT-7,7,Cristiano Ronaldo,29,187,1,pt,Portugal,7,Rep. of Ireland,64,3,6,2,2014,1,0,2,1,0,0,1,64,0
PT-7,7,Cristiano Ronaldo,29,187,1,pt,Portugal,7,Germany,1,2,6,2,2014,4,1,3,1,0,0,1,90,0
PT-7,7,Cristiano Ronaldo,29,187,1,pt,Portugal,7,United States,27,1,6,2,2014,4,1,3,1,0,0,1,90,0
PT-7,7,Cristiano Ronaldo,29,187,1,pt,Portugal,7,Ghana,37,5,6,2,2014,4,1,3,1,0,0,1,90,1
PT-7,7,Cristiano Ronaldo,30,187,1,pt,Portugal,7,France,7,7,10,3,2014,1,0,2,1,1,0,1,75,0
PT-7,7,Cristiano Ronaldo,30,187,1,pt,Portugal,7,Denmark,30,3,10,3,2014,2,1,2,1,1,0,1,90,1
PT-7,7,Cristiano Ronaldo,30,187,1,pt,Portugal,7,Armenia,79,6,11,3,2014,2,1,1,1,0,0,1,90,1
PT-7,7,Cristiano Ronaldo,30,187,1,pt,Portugal,7,Argentina,2,3,11,3,2014,1,0,2,1,1,0,1,45,0
PT-7,7,Cristiano Ronaldo,30,187,1,pt,Portugal,7,Serbia,56,1,3,1,2015,2,1,1,1,1,0,1,90,0
PT-7,7,Cristiano Ronaldo,31,187,1,pt,Portugal,7,France,25,6,9,3,2015,1,0,1,1,1,0,1,66,0
PT-7,7,Cristiano Ronaldo,31,187,1,pt,Portugal,7,Albania,38,2,9,3,2015,2,1,2,1,1,0,1,90,0
PT-7,7,Cristiano Ronaldo,31,187,1,pt,Portugal,7,Denmark,42,5,10,3,2015,2,1,1,1,1,0,1,90,0
PT-7,7,Cristiano Ronaldo,31,187,1,pt,Portugal,8,Bulgaria,71,6,3,1,2016,1,0,1,1,0,0,1,90,0
PT-7,7,Cristiano Ronaldo,31,187,1,pt,Portugal,8,Belgium,5,3,3,1,2016,1,0,1,1,1,0,1,59,1
PT-7,7,Cristiano Ronaldo,31,187,1,pt,Portugal,8,Estonia,116,4,6,2,2016,1,0,1,1,1,0,1,45,2
PT-7,7,Cristiano Ronaldo,31,187,1,pt,Portugal,8,Iceland,21,3,6,2,2016,3,1,3,1,1,0,1,90,0
