DOB,Height,Name,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/15/2010,Tue,World Cup,Group stage,Neutral,D 0–0,pt Portugal,ci Côte d'Ivoire,Y,,90,0,,0,0,,,1,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/21/2010,Mon,World Cup,Group stage,Neutral,W 7–0,pt Portugal,kp Korea DPR,Y,,90,1,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/25/2010,Fri,World Cup,Group stage,Neutral,D 0–0,pt Portugal,br Brazil,Y,,90,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/29/2010,Tue,World Cup,Round of 16,Neutral,L 0–1,pt Portugal,es Spain,Y,,90,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,10/8/2010,Fri,UEFA Euro Qualifying,Group stage,Home,W 3–1,pt Portugal,dk Denmark,Y*,,90,1,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,10/12/2010,Tue,UEFA Euro Qualifying,Group stage,Away,W 3–1,pt Portugal,is Iceland,Y*,,90,1,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/4/2011,Sat,UEFA Euro Qualifying,Group stage,Home,W 1–0,pt Portugal,no Norway,Y*,,90,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,9/2/2011,Fri,UEFA Euro Qualifying,Group stage,Away,W 4–0,pt Portugal,cy Cyprus,Y*,,90,2,,1,1,,,1,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,10/7/2011,Fri,UEFA Euro Qualifying,Group stage,Home,W 5–3,pt Portugal,is Iceland,Y*,,90,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,10/11/2011,Tue,UEFA Euro Qualifying,Group stage,Away,L 1–2,pt Portugal,dk Denmark,Y*,,90,1,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,11/11/2011,Fri,UEFA Euro Qualifying,Play-off Round,Away,D 0–0,pt Portugal,ba Bosnia & Herz'na,Y*,,90,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,11/15/2011,Tue,UEFA Euro Qualifying,Play-off Round,Home,W 6–2,pt Portugal,ba Bosnia & Herz'na,Y*,,90,2,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/9/2012,Sat,UEFA Euro,Group stage,Away,L 0–1,pt Portugal,de Germany,Y*,,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/13/2012,Wed,UEFA Euro,Group stage,Away,W 3–2,pt Portugal,dk Denmark,Y*,,90,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,Match Report
