,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendimiento,,,,,,,,,,,,Expectativa,,,ACT,,Pases,,,,Transportes,,Tomas,,,,,,,,,,,,,
Fecha,Día,Comp,Ronda,Sedes,Resultado,Equipo,Adversario,Arranque,Posc,Mín,Gls.,Ass,TP,TPint,Dis,DaP,TA,TR,Toques,Tkl,Int,Bloqueos,xG,npxG,xAG,ACT,ACG,Cmp,Int.,% Cmp,PrgP,Transportes,PrgC,Att,Succ,Informe del partido
9/1/2021,Mié,WCQ,Primera ronda,Local,E 1–1,fr Francia,ba Bosnia & Herz'na,Sí,FW,89,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,Informe del partido
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/2021,Jue,Liga de las Naciones de la UEFA,Semifinales,Neutral,V 3–2,fr Francia,be Bélgica,Sí,FW,90,1,1,1,1,0,0,0,0,,,0,,,,,,,,,,,,,,,Informe del partido
10/10/2021,Dom,Liga de las Naciones de la UEFA,Final,Neutral,V 2–1,fr Francia,es España,Sí,FW,90,1,1,0,0,0,0,1,0,,,0,,,,,,,,,,,,,,,Informe del partido
11/13/2021,Sáb,WCQ,Primera ronda,Local,V 8–0,fr Francia,kz Kazajstán,Sí,FW,87,4,1,0,0,7,6,0,0,,,0,,,,,,,,,,,,,,,Informe del partido
11/16/2021,Mar,WCQ,Primera ronda,Visitante,V 2–0,fr Francia,fi Finlandia,Sí,FW,90,1,1,0,0,3,2,0,0,,,0,,,,,,,,,,,,,,,Informe del partido
3/29/2022,Mar,Partido amistoso (M),Partido amistoso (M),Neutral,V 5–0,fr Francia,za Sudáfrica,Sí,FW,90,2,1,1,1,,,0,0,,,,,,,,,,,,,,,,,,Informe del partido
6/3/2022,Vie,Liga de las Naciones de la UEFA,Liga A,Local,D 1–2,fr Francia,dk Dinamarca,Sí,FW,45,0,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,Informe del partido
6/10/2022,Vie,Liga de las Naciones de la UEFA,Liga A,Visitante,E 1–1,fr Francia,at Austria,No,,28,1,0,0,0,2,2,0,0,,,0,,,,,,,,,,,,,,,Informe del partido
6/13/2022,Lun,Liga de las Naciones de la UEFA,Liga A,Local,D 0–1,fr Francia,hr Croacia,Sí,FW,90,0,0,0,0,6,2,0,0,,,0,,,,,,,,,,,,,,,Informe del partido
9/22/2022,Jue,Liga de las Naciones de la UEFA,Liga A,Local,V 2–0,fr Francia,at Austria,Sí,FW,89,1,0,0,0,7,3,0,0,,,0,,,,,,,,,,,,,,,Informe del partido
9/25/2022,Dom,Liga de las Naciones de la UEFA,Liga A,Visitante,D 0–2,fr Francia,dk Dinamarca,Sí,FW,90,0,0,0,0,5,4,0,0,,,0,,,,,,,,,,,,,,,Informe del partido
11/22/2022,Mar,Copa Mundial,Etapa de grupo,Neutral,V 4–1,fr Francia,au Australia,Sí,LW,90,1,1,0,0,7,1,0,0,76,0,0,0,1.2,1.2,0.6,10,3,41,57,71.9,1,47,7,9,3,Informe del partido
11/26/2022,Sáb,Copa Mundial,Etapa de grupo,Neutral,V 2–1,fr Francia,dk Dinamarca,Sí,"LW,FW",90,2,0,0,0,6,4,0,0,51,0,0,0,1,1,0.1,9,1,30,37,81.1,5,38,3,6,2,Informe del partido
11/30/2022,Mié,Copa Mundial,Etapa de grupo,Neutral,D 0–1,fr Francia,tn Túnez,No,"LW,FW",28,0,0,0,0,3,2,0,0,31,0,0,0,0.1,0.1,0,6,0,16,25,64,3,23,5,3,3,Informe del partido
12/4/2022,Dom,Copa Mundial,Ronda de 16,Neutral,V 3–1,fr Francia,pl Polonia,Sí,"LW,FW",90,2,1,0,0,5,3,0,0,55,0,0,0,0.3,0.3,0.5,9,2,33,41,80.5,6,44,8,11,5,Informe del partido
12/10/2022,Sáb,Copa Mundial,Cuartos de final,Neutral,V 2–1,fr Francia,eng Inglaterra,Sí,LW,90,0,0,0,0,1,0,0,0,36,0,0,0,0.1,0.1,0,1,0,24,28,85.7,5,32,5,6,2,Informe del partido
12/14/2022,Mié,Copa Mundial,Semifinales,Neutral,V 2–0,fr Francia,ma Marruecos,Sí,"LW,FW",90,0,0,0,0,3,0,0,0,30,0,0,0,0.6,0.6,0.1,8,2,12,16,75,1,20,6,8,6,Informe del partido
12/18/2022,Dom,Copa Mundial,Final,Neutral,E 3 (2)–3 (4),fr Francia,ar Argentina,Sí,"FW,LW",120,3,0,2,2,4,1,0,0,43,0,0,0,1.8,0.2,0,3,3,17,25,68,4,28,6,9,4,Informe del partido
3/24/2023,Vie,Clasificación para la Eurocopa de la UEFA,Etapa de grupo,Local,V 4–0,fr Francia,nl Países Bajos,Sí*,AM,90,2,1,0,0,5,4,0,0,,,0,,,,,,,,,,,,,,,Informe del partido
,,,,,,,,,,,Rendimiento,,,,,,,,,,,,Expectativa,,,ACT,,Pases,,,,Transportes,,Tomas,,
Fecha,Día,Comp,Ronda,Sedes,Resultado,Equipo,Adversario,Arranque,Posc,Mín,Gls.,Ass,TP,TPint,Dis,DaP,TA,TR,Toques,Tkl,Int,Bloqueos,xG,npxG,xAG,ACT,ACG,Cmp,Int.,% Cmp,PrgP,Transportes,PrgC,Att,Succ,Informe del partido
3/27/2023,Lun,Clasificación para la Eurocopa de la UEFA,Etapa de grupo,Visitante,V 1–0,fr Francia,ie Rep. of Ireland,Sí*,FW,90,0,0,0,0,2,0,0,0,,,1,,,,,,,,,,,,,,,Informe del partido
6/16/2023,Vie,Clasificación para la Eurocopa de la UEFA,Etapa de grupo,Visitante,V 3–0,fr Francia,gi Gibraltar,Sí*,FW,90,1,0,1,1,7,3,0,0,,,0,,,,,,,,,,,,,,,Informe del partido
6/19/2023,Lun,Clasificación para la Eurocopa de la UEFA,Etapa de grupo,Local,V 1–0,fr Francia,gr Grecia,Sí*,AM,90,1,0,1,1,5,2,0,0,,,1,,,,,,,,,,,,,,,Informe del partido
9/7/2023,Jue,Clasificación para la Eurocopa de la UEFA,Etapa de grupo,Local,V 2–0,fr Francia,ie Rep. of Ireland,Sí*,AM,90,0,1,0,0,5,1,0,0,,,0,,,,,,,,,,,,,,,Informe del partido
10/13/2023,Vie,Clasificación para la Eurocopa de la UEFA,Etapa de grupo,Visitante,V 2–1,fr Francia,nl Países Bajos,Sí*,FW,90,2,0,0,0,4,2,1,0,,,1,,,,,,,,,,,,,,,Informe del partido
10/17/2023,Mar,Partido amistoso (M),Partido amistoso (M),Local,V 4–1,fr Francia,sct Escocia,Sí*,AM,86,1,1,1,1,,,0,0,,,,,,,,,,,,,,,,,,Informe del partido
11/18/2023,Sáb,Clasificación para la Eurocopa de la UEFA,Etapa de grupo,Local,V 14–0,fr Francia,gi Gibraltar,Sí*,AM,90,3,2,1,1,7,3,0,0,,,0,,,,,,,,,,,,,,,Informe del partido
11/21/2023,Mar,Clasificación para la Eurocopa de la UEFA,Etapa de grupo,Visitante,E 2–2,fr Francia,gr Grecia,No,,27,0,1,0,0,3,1,0,0,,,0,,,,,,,,,,,,,,,Informe del partido
3/23/2024,Sáb,Partido amistoso (M),Partido amistoso (M),Local,D 0–2,fr Francia,de Alemania,Sí*,FW,90,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,Informe del partido
3/26/2024,Mar,Partido amistoso (M),Partido amistoso (M),Local,V 3–2,fr Francia,cl Chile,Sí*,FW,90,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,Informe del partido
,,,,,52-15-10,,,65/77,,"5,855",46,26,9,10,149,71,7,0,736,6,8,5,9.5,7.9,4.2,88,17,382,505,75.6,48,521,82,127,,
